# Bassano del Grappa, Italy 2026 — Task T2.3 — FINAL, official published result.
# Times are LOCAL (UTC+2). The engine works in UTC: local 13:30 = 11:30Z.
# Columns: rank id name start finish time height_m speed_kmh distance_km distP leadP spdP lowP score
45	0106	P. Langenegger	13:30:00	15:25:29	01:55:29	18	28.6	59.9	361.7	140.5	406.1	-61.2	847.1
46	0027	S. Barham	13:30:00	15:33:32	02:03:32	249	26.8	59.9	361.7	130.2	351.6	0.0	843.5
47	1009	L. Rosenkjer	13:30:00	15:34:29	02:04:29	205	26.6	59.9	361.7	124.2	345.5	0.0	831.4
48	0033	M. Janaway SVN	13:30:00	15:34:38	02:04:38	129	26.5	59.9	361.7	121.9	344.6	-3.1	825.1
48	1285	A. Ruegg	13:30:00	15:34:40	02:04:40	254	26.5	59.9	361.7	119.0	344.4	0.0	825.1
50	0018	P. Karolak	13:30:00	15:37:47	02:07:47	93	25.9	59.9	361.7	143.9	324.9	-10.0	820.5
51	1307	V. Usanov	13:30:00	15:37:47	02:07:47	322	25.9	59.9	361.7	132.2	324.9	0.0	818.8
52	1501	F. Munari	13:30:00	15:33:43	02:03:43	77	26.7	59.9	361.7	122.8	350.4	-16.3	818.6
53	0019	M. Janaway GBR	13:30:00	15:39:25	02:09:25	184	25.5	59.9	361.7	139.2	314.9	0.0	815.8
54	0122	R. Oerer	13:30:00	15:39:40	02:09:40	473	25.5	59.9	361.7	139.4	313.4	0.0	814.5
55	1322	F. Monnet	13:30:00	15:39:53	02:09:53	551	25.4	59.9	361.7	139.0	312.1	0.0	812.8
56	0060	M. Krawczyk	13:30:00	15:38:30	02:08:30	388	25.7	59.9	361.7	128.2	320.5	0.0	810.4
57	0007	U. Jessop	13:30:00	15:29:21	01:59:21	6	27.7	59.9	361.7	134.7	379.1	-69.2	806.3
58	1371	J. Kocot	13:30:00	15:39:42	02:09:42	191	25.5	59.9	361.7	123.6	313.2	0.0	798.5
59	0054	Y. Kaliszczak	13:30:00	15:39:07	02:09:07	317	25.6	59.9	361.7	117.1	316.8	0.0	795.6
60	0066	P. Kepes	13:30:00	15:40:03	02:10:03	295	25.4	59.9	361.7	115.2	311.1	0.0	788.0
61	0236	L. Pol Bernal	13:30:00	15:39:53	02:09:53	229	25.4	59.9	361.7	112.8	312.1	0.0	786.6
62	0207	A. Clemente	13:30:00	15:39:25	02:09:25	458	25.5	59.9	361.7	107.9	314.9	0.0	784.5
63	0021	C. Hobbs	13:30:00	15:42:36	02:12:36	327	24.9	59.9	361.7	121.2	295.8	0.0	778.7
64	0150	V. Eggesvik	13:30:00	15:43:29	02:13:29	186	24.8	59.9	361.7	123.6	290.6	0.0	775.9
65	0099	F. Czinege	13:30:00	15:43:36	02:13:36	242	24.7	59.9	361.7	119.8	289.9	0.0	771.4
66	0133	F. Eftekhari	13:30:00	15:42:44	02:12:44	108	24.9	59.9	361.7	115.0	295.1	-5.7	766.1
67	1275	T. Majdic	13:30:00	15:42:21	02:12:21	353	25.0	59.9	361.7	106.8	297.3	0.0	765.8
68	0063	P. Milko	13:30:00	15:46:05	02:16:05	548	24.3	59.9	361.7	122.0	275.4	0.0	759.1
69	0094	F. Montaner	13:30:00	15:46:06	02:16:06	496	24.3	59.9	361.7	121.8	275.3	0.0	758.8
70	1050	G. Miguel	13:30:00	15:43:17	02:13:17	535	24.8	59.9	361.7	104.2	291.8	0.0	757.7
71	0158	A. Schlink	13:30:00	15:45:33	02:15:33	226	24.4	59.9	361.7	116.6	278.5	0.0	756.8
72	0051	A. Zaborowska	13:30:00	15:45:00	02:15:00	452	24.5	59.9	361.7	112.4	281.7	0.0	755.8
73	0035	J. Mattila	13:30:00	15:42:27	02:12:27	347	25.0	59.9	361.7	95.4	296.7	0.0	753.8
74	0268	K. Lados	13:30:00	15:43:14	02:13:14	701	24.8	59.9	361.7	99.9	292.1	0.0	753.7
74	0032	S. Prikhodko	13:30:00	15:45:26	02:15:26	220	24.4	59.9	361.7	112.8	279.2	0.0	753.7
76	0110	I. Souza	13:30:00	15:44:49	02:14:49	294	24.5	59.9	361.7	108.1	282.8	0.0	752.6
77	0140	M. Mastalerz	13:30:00	15:46:53	02:16:53	201	24.1	59.9	361.7	118.5	270.8	0.0	751.0
78	0167	M. Pawlak	13:30:00	15:47:47	02:17:47	177	24.0	59.9	361.7	115.7	265.6	-0.1	742.9
79	1413	S. Dai	13:30:00	15:46:25	02:16:25	239	24.2	59.9	361.7	107.2	273.5	0.0	742.4
80	1005	S. Albert	13:30:00	15:48:05	02:18:05	404	23.9	59.9	361.7	115.5	263.9	0.0	741.1
81	0013	G. Mucklow	13:30:00	15:46:50	02:16:50	307	24.2	59.9	361.7	107.9	271.1	0.0	740.7
82	0258	J. Cui	13:30:00	15:45:33	02:15:33	115	24.4	59.9	361.7	103.8	278.5	-4.3	739.7
83	0010	R. Ferre	13:30:00	15:51:31	02:21:31	231	23.4	59.9	361.7	131.5	244.3	0.0	737.5
84	1035	M. Moore	13:30:00	15:43:56	02:13:56	94	24.7	59.9	361.7	94.2	288.0	-8.6	735.3
85	0041	R. Grigoraitiene	13:30:00	15:46:10	02:16:10	251	24.3	59.9	361.7	97.9	274.9	0.0	734.5
86	1395	R. Pauly	13:30:00	15:47:26	02:17:26	250	24.1	59.9	361.7	101.3	267.6	0.0	730.6
87	1353	G. Solda	13:30:00	15:47:32	02:17:32	285	24.0	59.9	361.7	100.4	267.0	0.0	729.1
88	1385	M. Moreno	13:30:00	15:47:40	02:17:40	445	24.0	59.9	361.7	96.0	266.3	0.0	724.0
89	0109	J. Jezo	13:30:00	15:46:46	02:16:46	54	24.2	59.9	361.7	109.5	271.4	-21.1	721.5
90	0039	M. Nagy	13:30:00	15:45:37	02:15:37	-13	24.4	59.9	361.7	114.8	278.1	-55.6	699.0
91	1093	M. Przeczewska	13:30:00	15:51:59	02:21:59	201	23.3	59.9	361.7	93.1	241.7	0.0	696.5
92	1242	P. Louis	13:30:00	15:54:20	02:24:20	267	22.9	59.9	361.7	95.9	228.6	0.0	686.2
93	0206	F. Wagner	13:30:00	15:58:34	02:28:34	527	22.2	59.9	361.7	114.2	205.3	0.0	681.2
94	0069	S. Meikle	13:30:00	15:57:34	02:27:34	686	22.4	59.9	361.7	106.8	210.7	0.0	679.2
95	0087	A. Kusalewicz	13:30:00	15:58:59	02:28:59	607	22.2	59.9	361.7	109.6	203.0	0.0	674.3
96	0261	N. Mo	13:30:00	15:55:01	02:25:01	246	22.8	59.9	361.7	85.3	224.8	0.0	671.8
97	0178	J. Bouchard	13:30:00	15:59:54	02:29:54	533	22.1	59.9	361.7	107.4	198.0	0.0	667.1
98	0115	J. Wieczorek	13:30:00	15:57:57	02:27:57	73	22.3	59.9	361.7	107.0	208.6	-10.7	666.6
99	1144	Y. Mishanin	13:30:00	15:56:50	02:26:50	236	22.5	59.9	361.7	89.7	214.8	0.0	666.2
100	1486	M. Pfrunder	13:30:00	16:00:32	02:30:32	623	22.0	59.9	361.7	101.9	194.6	0.0	658.2
101	0299	A. Matthews	13:30:00	15:59:36	02:29:36	139	22.1	59.9	361.7	85.7	199.6	-1.1	645.9
102	0307	S. Ballester	13:30:00	16:00:41	02:30:41	353	21.9	59.9	361.7	78.6	193.8	0.0	634.1
103	0262	D. Egermann	13:30:00	16:05:37	02:35:37	370	21.2	59.9	361.7	86.2	167.3	0.0	615.2
104	0074	U. Becker	13:30:00	16:07:45	02:37:45	157	21.0	59.9	361.7	93.3	156.0	-0.3	610.7
105	0057	S. Moshe	13:30:00	16:05:52	02:35:52	239	21.2	59.9	361.7	80.8	166.0	0.0	608.5
106	0116	J. Machom	13:30:00	16:05:43	02:35:43	383	21.2	59.9	361.7	75.0	166.8	0.0	603.5
107	0037	B. Johnson	13:30:00	16:08:54	02:38:54	428	20.8	59.9	361.7	77.2	150.0	0.0	588.9
108	0031	A. Boldyrev	13:30:00	16:13:01	02:43:01	453	20.3	59.9	361.7	68.4	128.5	0.0	558.6
108	0044	L. Coulombe	13:30:00	16:12:58	02:42:58	346	20.3	59.9	361.7	68.2	128.7	0.0	558.6
110	0302	M. Takats	13:30:00	16:24:39	02:54:39	20	18.9	59.9	361.7	65.3	69.1	-10.1	486.0
111	1437	D. Anawalt	-	-	-	-	-	59.5	359.2	111.5	0.0	0.0	470.7
112	0145	I. Douglas	13:30:00	16:28:08	02:58:08	640	18.6	59.9	361.7	43.5	51.7	0.0	456.9
113	0048	R. Orlowski	-	-	-	-	-	50.9	307.4	103.1	0.0	0.0	410.5
114	0203	M. Muzellec	-	-	-	-	-	50.5	305.3	96.8	0.0	0.0	402.1
115	0221	M. King	13:30:00	17:06:24	03:36:24	353	15.3	59.9	361.7	6.6	0.0	0.0	368.3
116	1392	S. Yorgun	-	-	-	-	-	44.9	271.2	61.3	0.0	0.0	332.5
117	0170	S. Jack	-	-	-	-	-	43.0	259.6	44.4	0.0	0.0	304.0
118	0211	M. Joyce	-	-	-	-	-	43.7	263.8	0.0	0.0	0.0	263.8
119	0314	N. Carvalho	-	-	-	-	-	36.7	221.4	1.7	0.0	0.0	223.1
120	0025	S. Dombi	-	-	-	-	-	36.3	219.4	1.9	0.0	0.0	221.3
121	0030	A. Kiralyhegyi	-	-	-	-	-	36.5	220.7	0.0	0.0	0.0	220.7
122	0049	TG. Fulop	-	-	-	-	-	35.9	217.1	0.0	0.0	0.0	217.1
123	0001	P. Takats	-	-	-	-	-	35.2	212.6	0.0	0.0	0.0	212.6
124	0189	W. Gomez	-	-	-	-	-	34.2	206.7	0.0	0.0	0.0	206.7
125	0305	H. Pauly	-	-	-	-	-	26.0	157.3	0.0	0.0	0.0	157.3
126	1172	M. Bastow	-	-	-	-	-	26.0	156.9	0.0	0.0	0.0	156.9
127	1264	A. Piskozub	-	-	-	-	-	25.7	155.4	0.0	0.0	0.0	155.4
128	1408	C. Gomez	-	-	-	-	-	12.0	72.2	0.0	0.0	0.0	72.2
129	1380	M. Dmochowski	-	-	-	-	-	38.8	234.3	5.5	0.0	0.0	0.0
# PENALTY: 1380 M. Dmochowski  -100% of own points  AIRSPACE  -> final 0.0
